cid,community_name,county,initial_fhbm_date,initial_firm_date,current_map_date,regular_emergency_program_date,is_tribal,fips,duns,is_csc,csc_level,crs_member,crs_community_number,crs_entry_date,current_effective_date,current_class,discount_sfha,discount_non_sfha,status,nfip_standing,community_assistance_visit,community_assistance_call,current_nfip_ordinance,nfip_ordinance_adoption,nfip_administrator_name
361209,"DANSVILLE, TOWN OF",STEUBEN COUNTY,01/24/75,03/09/84,03/09/84(M),03/09/84,No,,,,,No,,,,,,,,,,,,,
360383#,"DANSVILLE, VILLAGE OF",LIVINGSTON COUNTY,10/22/76,11/01/78,04/05/10,11/01/78,No,,,,,No,,,,,,,,,,,,,
360300,"DANUBE, TOWN OF",HERKIMER COUNTY,04/05/74,07/03/85,07/03/85(M),07/03/85,No,,,,,No,,,,,,,,,,,,,
361140,"DARIEN, TOWN OF",GENESEE COUNTY,01/10/75,07/06/84,07/06/84(M),07/06/84,No,,,,,No,,,,,,,,,,,,,
360192#,"DAVENPORT, TOWN OF",DELAWARE COUNTY,07/26/74,05/15/85,06/19/12,05/15/85,No,,,,,No,,,,,,,,,,,,,
361188#,"DAY, TOWN OF",SARATOGA COUNTY,11/15/74,08/16/95,(NSFHA),06/22/84,No,,,,,No,,,,,,,,,,,,,
360066,"DAYTON, TOWN OF",CATTARAUGUS COUNTY,08/09/74,05/25/84,05/25/84(M),05/25/84,No,,,,,No,,,,,,,,,,,,,
361174,"DE KALB, TOWN OF",ST. LAWRENCE COUNTY,01/10/75,,(NSFHA),12/19/84,No,,,,,No,,,,,,,,,,,,,
361175,"DE PEYSTER, TOWN OF",ST. LAWRENCE COUNTY,02/14/75,07/23/82,07/23/82(M),07/23/82,No,,,,,No,,,,,,,,,,,,,
361291#,"DE RUYTER, TOWN OF",MADISON COUNTY,09/20/74,06/08/84,06/08/84,06/08/84,No,,,,,No,,,,,,,,,,,,,
360396,"DE RUYTER, VILLAGE OF",MADISON COUNTY,05/24/74,08/24/84,08/24/84(M),08/24/84,No,,,,,No,,,,,,,,,,,,,
361417A,"DECATUR, TOWN OF",OTSEGO COUNTY,01/17/75,06/18/87,03/21/17(M),06/18/87,No,,,,,No,,,,,,,,,,,,,
360612#,"DEER PARK, TOWN OF",ORANGE COUNTY,05/17/74,03/18/87,08/03/09,03/18/87,No,,,,,No,,,,,,,,,,,,,
360526#,"DEERFIELD, TOWN OF",ONEIDA COUNTY,08/02/74,04/17/85,09/27/13,04/17/85,No,,,,,No,,,,,,,,,,,,,
360332,"DEFERIET, VILLAGE OF",JEFFERSON COUNTY,10/18/74,,(NSFHA),12/19/84,No,,,,,No,,,,,,,,,,,,,
360737#,"DELANSON, VILLAGE OF",SCHENECTADY COUNTY,05/31/74,05/25/84,01/08/14(M),05/25/84,No,,,,,No,,,,,,,,,,,,,
360818#,"DELAWARE, TOWN OF",SULLIVAN COUNTY,06/28/74,11/18/83,02/18/11,11/18/83,No,,,Yes,,No,,,,,,,,,,,,,
361368,"DELEVAN, VILLAGE OF",CATTARAUGUS COUNTY,01/03/75,01/20/84,01/20/84(M),01/20/84,No,,,,,No,,,,,,,,,,,,,
360193B,"DELHI, TOWN OF",DELAWARE COUNTY,07/26/74,07/18/85,06/16/16,07/18/85,No,,,,,No,,,,,,,,,,,,,
361572B,"DELHI, VILLAGE OF",DELAWARE COUNTY,03/11/77,07/18/85,06/16/16,07/18/85,No,,,Yes,,No,,,,,,,,,,,,,
360363,"DENMARK, TOWN OF",LEWIS COUNTY,06/28/74,05/15/85,05/15/85(M),05/15/85,No,,,,,No,,,,,,,,,,,,,
361439B,"DENNING, TOWN OF",ULSTER COUNTY,02/07/75,05/25/84,11/18/16,05/25/84,No,,,,,No,,,,,,,,,,,,,
360236B,"DEPEW, VILLAGE OF",ERIE COUNTY,02/22/74,08/03/81,06/07/19,08/03/81,No,,,,,No,,,,,,,,,,,,,
360195#,"DEPOSIT, TOWN OF",DELAWARE COUNTY,06/21/74,03/18/86,06/19/12,03/18/86,No,,,,,No,,,,,,,,,,,,,
360043#,"DEPOSIT, VILLAGE OF",DELAWARE COUNTY/BROOME COUNTY,06/14/74,02/01/79,02/01/79,02/01/79,No,,,,,No,,,,,,,,,,,,,
361524#,"DERING HARBOR, VILLAGE OF",SUFFOLK COUNTY,12/20/74,08/11/78,09/25/09,08/11/78,No,,,,,No,,,,,,,,,,,,,
360973A,"DEWITT, TOWN OF",ONONDAGA COUNTY,03/22/74,03/01/79,11/04/16,03/01/79,No,,,Yes,,No,,,,,,,,,,,,,
360333#,"DEXTER, VILLAGE OF",JEFFERSON COUNTY,07/26/74,06/05/85,06/15/94,06/05/85,No,,,,,No,,,,,,,,,,,,,
360364,"DIANA, TOWN OF",LEWIS COUNTY,09/13/74,09/24/84,09/24/84(M),09/24/84,No,,,Yes,,No,,,,,,,,,,,,,
361122,"DICKINSON, TOWN OF",FRANKLIN COUNTY,11/08/74,03/18/86,03/18/86(M),03/18/86,No,,,,,No,,,,,,,,,,,,,
360044#,"DICKINSON, TOWN OF",BROOME COUNTY,03/08/74,04/15/77,04/15/77,04/15/77,No,,,,,No,,,,,,,,,,,,,
360746#,"DIX, TOWN OF",SCHUYLER COUNTY,09/03/76,10/29/82,10/29/82(M),10/29/82,No,,,,,No,,,,,,,,,,,,,
360908#,"DOBBS FERRY, VILLAGE OF",WESTCHESTER COUNTY,05/17/74,04/16/79,09/28/07,04/16/79,No,,,Yes,,No,,,,,,,,,,,,,
360301#,"DOLGEVILLE, VILLAGE OF",HERKIMER COUNTY,02/15/74,03/16/83,03/16/83,03/16/83,No,,,,,No,,,,,,,,,,,,,
361335#,"DOVER, TOWN OF",DUTCHESS COUNTY,12/06/74,08/15/84,05/02/12,08/15/84,No,,,Yes,,No,,,,,,,,,,,,,
361410#,"DRESDEN, TOWN OF",WASHINGTON COUNTY,02/14/75,07/03/86,09/20/96,07/03/86,No,,,,,No,,,,,,,,,,,,,
360956#,"DRESDEN, VILLAGE OF",YATES COUNTY,02/20/76,06/15/81,06/15/81,06/15/81,No,,,,,No,,,,,,,,,,,,,
360846,"DRYDEN, TOWN OF",TOMPKINS COUNTY,07/19/74,05/15/85,05/15/85(M),05/15/85,No,,,Yes,Bronze Certified,No,,,,,,,,,,,,,
360847#,"DRYDEN, VILLAGE OF",TOMPKINS COUNTY,06/07/74,01/03/79,01/03/79,01/03/79,No,,,,,No,,,,,,,,,,,,,
361396,"DUANE, TOWN OF",FRANKLIN COUNTY,01/17/75,,(NSFHA),12/19/84,No,,,,,No,,,,,,,,,,,,,
361191#,"DUANESBURG, TOWN OF",SCHENECTADY COUNTY,10/25/74,02/17/89,01/08/14,02/17/89,No,,,,,No,,,,,,,,,,,,,
360957,"DUNDEE, VILLAGE OF",YATES COUNTY,06/28/74,03/01/88,03/01/88(L),03/01/88,No,,,,,No,,,,,,,,,,,,,
360137#,"DUNKIRK, CITY OF",CHAUTAUQUA COUNTY,05/31/74,02/04/81,02/04/81,02/04/81,No,,,,,No,,,,,,,,,,,,,
361108#,"DUNKIRK, TOWN OF",CHAUTAUQUA COUNTY,11/29/74,08/06/82,08/06/82(M),08/06/82,No,,,,,No,,,,,,,,,,,,,
360289#,"DURHAM, TOWN OF",GREENE COUNTY,12/13/74,06/01/88,05/16/08(M),06/01/88,No,,,,,No,,,,,,,,,,,,,
360943,"EAGLE, TOWN OF",WYOMING COUNTY,09/13/74,05/28/76,12/23/83(M),12/23/83,No,,,,,No,,,,,,,,,,,,,
360397#,"EARLVILLE, VILLAGE OF",CHENANGO COUNTY,05/31/74,06/05/85,11/26/10(M),06/05/85,No,,,,,No,,,,,,,,,,,,,
365335B,"EAST AURORA, VILLAGE OF",ERIE COUNTY,07/20/73,07/20/73,06/07/19,07/20/73,No,,,Yes,,No,,,,,,,,,,,,,
361298#,"EAST BLOOMFIELD, TOWN OF",ONTARIO COUNTY,12/20/74,08/15/83,08/15/83,08/15/83,No,,,,,No,,,,,,,,,,,,,
361336#,"EAST FISHKILL, TOWN OF",DUTCHESS COUNTY,11/01/74,06/15/84,05/02/12,06/15/84,No,,,,,Yes,361336,10/1/2015,10/1/2015,8,10,5,C,,,,,,
361133#,"EAST GREENBUSH, TOWN OF",RENSSELAER COUNTY,12/13/74,03/18/80,03/18/80,03/18/80,No,,,Yes,,No,,,,,,,,,,,,,
360794#,"EAST HAMPTON, TOWN OF",SUFFOLK COUNTY,08/29/75,09/30/76,09/25/09,09/30/76,No,,,Yes,Bronze Certified,No,,,,,,,,,,,,,
360795#,"EAST HAMPTON, VILLAGE OF",SUFFOLK COUNTY,12/28/73,09/30/80,09/25/09,09/30/80,No,,,,,No,,,,,,,,,,,,,
361627#,"EAST HILLS, VILLAGE OF",NASSAU COUNTY,,04/02/97,(NSFHA),12/19/05,No,,,,,No,,,,,,,,,,,,,
360257#,"EAST NASSAU, VILLAGE OF (The Village of East Nassau has adopted FIRM panels 11A, 13A, 21A, and 23A for the Town of Nassau (CID 361155), Rensselaer County, dated September 5, 1984.)",RENSSELAER COUNTY,,09/05/84,09/05/84,10/05/07,No,,,Yes,,No,,,,,,,,,,,,,
360067,"EAST OTTO, TOWN OF",CATTARAUGUS COUNTY,06/21/74,05/28/76,04/20/84(M),04/20/84,No,,,,,No,,,,,,,,,,,,,
360068#,"EAST RANDOLPH, VILLAGE OF",CATTARAUGUS COUNTY,01/23/76,02/01/78,02/01/78,02/01/78,No,,,,,No,,,,,,,,,,,,,
360414#,"EAST ROCHESTER, VILLAGE OF",MONROE COUNTY,02/15/74,08/20/82,08/28/08(M),08/20/82,No,,,,,No,,,,,,,,,,,,,
360463#,"EAST ROCKAWAY, VILLAGE OF",NASSAU COUNTY,07/26/74,12/01/78,09/11/09,12/01/78,No,,,Yes,,Yes,360463,10/1/1992,10/1/1992,9,5,5,C,,,,,,
360574A,"EAST SYRACUSE, VILLAGE OF",ONONDAGA COUNTY,04/12/74,08/03/81,11/04/16,08/03/81,No,,,,,No,,,,,,,,,,,,,
361628#,"EAST WILLISTON, VILLAGE OF",NASSAU COUNTY,,04/02/97,(NSFHA),09/05/08,No,,,,,No,,,,,,,,,,,,,
360909#,"EASTCHESTER, TOWN OF",WESTCHESTER COUNTY,05/10/74,11/15/79,09/28/07,11/15/79,No,,,,,No,,,,,,,,,,,,,
361224#,"EASTON, TOWN OF",WASHINGTON COUNTY,12/20/74,07/03/86,11/20/91,07/03/86,No,,,,,No,,,,,,,,,,,,,
360398,"EATON, TOWN OF",MADISON COUNTY,05/03/74,09/10/84,09/10/84(M),09/10/84,No,,,Yes,,No,,,,,,,,,,,,,
360238B,"EDEN, TOWN OF",ERIE COUNTY,09/20/74,08/24/79,06/07/19,08/24/79,No,,,,,No,,,,,,,,,,,,,
361270A,"EDMESTON, TOWN OF",OTSEGO COUNTY,12/20/74,06/01/87,03/21/17(M),06/01/87,No,,,,,No,,,,,,,,,,,,,
361176,"EDWARDS, TOWN OF",ST. LAWRENCE COUNTY,01/24/75,07/30/82,07/30/82(M),07/30/82,No,,,,,No,,,,,,,,,,,,,
361463,"EDWARDS, VILLAGE OF",ST. LAWRENCE COUNTY,11/15/74,07/23/82,07/23/82(M),07/23/82,No,,,,,No,,,,,,,,,,,,,
361120,"ELBA, TOWN OF",GENESEE COUNTY,10/25/74,06/04/76,10/05/84(M),10/05/84,No,,,,,No,,,,,,,,,,,,,
361499,"ELBA, VILLAGE OF",GENESEE COUNTY,01/24/75,01/20/84,01/20/84(M),01/20/84,No,,,,,No,,,,,,,,,,,,,
360575A,"ELBRIDGE, TOWN OF",ONONDAGA COUNTY,05/31/74,08/16/82,11/04/16,08/16/82,No,,,Yes,,No,,,,,,,,,,,,,
360576A,"ELBRIDGE, VILLAGE OF",ONONDAGA COUNTY,05/31/74,08/16/82,11/04/16,08/16/82,No,,,,,No,,,,,,,,,,,,,
361388#,"ELIZABETHTOWN, TOWN OF, INCLUDES THE VILLAGE OF ELIZABETHTOWN",ESSEX COUNTY,01/24/75,07/20/84,01/20/93,07/20/84,No,,,,,No,,,,,,,,,,,,,
361382#,"ELLENBURG, TOWN OF",CLINTON COUNTY,03/14/75,03/04/86,09/28/07(M),03/04/86,No,,,,,No,,,,,,,,,,,,,
360975B,"ELLENVILLE, VILLAGE OF",ULSTER COUNTY,05/24/74,07/05/83,11/18/16,07/05/83,No,,,,,No,,,,,,,,,,,,,
361072#,"ELLERY, TOWN OF",CHAUTAUQUA COUNTY,02/10/78,03/18/80,03/18/80,03/18/80,No,,,,,No,,,,,,,,,,,,,
361073#,"ELLICOTT, TOWN OF",CHAUTAUQUA COUNTY,12/06/74,08/01/84,08/01/84,08/01/84,No,,,,,No,,,,,,,,,,,,,
360069#,"ELLICOTTVILLE, TOWN OF",CATTARAUGUS COUNTY,05/31/74,05/15/78,01/19/00,05/15/78,No,,,,,No,,,,,,,,,,,,,
360070#,"ELLICOTTVILLE, VILLAGE OF",CATTARAUGUS COUNTY,05/24/74,02/01/79,05/02/94,02/01/79,No,,,,,No,,,,,,,,,,,,,
361074,"ELLINGTON, TOWN OF",CHAUTAUQUA COUNTY,10/25/74,10/07/83,10/07/83(M),10/07/83,No,,,,,No,,,,,,,,,,,,,
360334#,"ELLISBURG, TOWN OF",JEFFERSON COUNTY,04/05/74,08/15/78,05/18/92,08/15/78,No,,,,,No,,,,,,,,,,,,,
360335,"ELLISBURG, VILLAGE OF",JEFFERSON COUNTY,08/30/74,06/19/85,06/19/85(M),06/19/85,No,,,,,No,,,,,,,,,,,,,
360239B,"ELMA, TOWN OF",ERIE COUNTY,09/21/73,06/01/77,06/07/19,06/01/77,No,,,,,No,,,,,,,,,,,,,
360152#,"ELMIRA HEIGHTS, VILLAGE OF",CHEMUNG COUNTY,11/05/76,10/16/84,09/29/96,10/16/84,No,,,,,No,,,,,,,,,,,,,
360150#,"ELMIRA, CITY OF",CHEMUNG COUNTY,08/31/73,12/04/84,04/02/97,12/04/84,No,,,,,Yes,360150,10/1/1991,5/1/1997,8,10,5,C,,,,,,
360151#,"ELMIRA, TOWN OF",CHEMUNG COUNTY,08/31/73,10/16/84,09/29/96,10/16/84,No,,,,,Yes,360151,10/1/1991,10/1/2016,10,0,0,R,,,,,,
360910#,"ELMSFORD, VILLAGE OF",WESTCHESTER COUNTY,04/12/74,06/15/79,09/28/07,06/15/79,No,,,,,No,,,,,,,,,,,,,
360045#,"ENDICOTT, VILLAGE OF",BROOME COUNTY,10/01/76,05/15/78,09/07/98,05/15/78,No,,,,,No,,,,,,,,,,,,,
361399,"EPHRATAH, TOWN OF",FULTON COUNTY,01/31/75,07/03/85,07/03/85(M),07/03/85,No,,,,,No,,,,,,,,,,,,,
361374#,"ERIN, TOWN OF",CHEMUNG COUNTY,01/10/75,08/13/82,08/13/82(M),08/13/82,No,,,,,No,,,,,,,,,,,,,
360774#,"ERWIN, TOWN OF",STEUBEN COUNTY,11/23/73,07/02/80,07/02/80,07/02/80,No,,,,,Yes,360774,10/1/1991,5/1/2019,10,0,0,R,,,,,,
360855B,"ESOPUS, TOWN OF",ULSTER COUNTY,05/31/74,07/05/84,11/18/16,07/05/84,No,,,Yes,,No,,,,,,,,,,,,,
361194#,"ESPERANCE, TOWN OF",SCHOHARIE COUNTY,10/18/74,03/02/83,04/02/04,03/02/83,No,,,,,Yes,361194,10/1/2010,10/1/2010,9,5,5,C,,,,,,
361542#,"ESPERANCE, VILLAGE OF",SCHOHARIE COUNTY,01/24/75,09/16/82,04/02/04,09/16/82,No,,,,,No,,,,,,,,,,,,,
361149#,"ESSEX, TOWN OF",ESSEX COUNTY,12/20/74,04/03/87,04/03/87,04/03/87,No,,,,,No,,,,,,,,,,,,,
360337#,"EVANS MILLS, VILLAGE OF",JEFFERSON COUNTY,05/17/74,02/05/86,01/02/92,02/05/86,No,,,,,No,,,,,,,,,,,,,
360240B,"EVANS, TOWN OF",ERIE COUNTY,05/31/74,09/30/77,06/07/19,09/30/77,No,,,,,No,,,,,,,,,,,,,
361418A,"EXETER, TOWN OF",OTSEGO COUNTY,01/10/75,11/18/83,03/21/17(M),11/18/83,No,,,,,No,,,,,,,,,,,,,
360577A,"FABIUS, TOWN OF",ONONDAGA COUNTY,08/16/74,04/30/86,11/04/16,04/30/86,No,,,Yes,,No,,,,,,,,,,,,,
360109#,"FAIR HAVEN, VILLAGE OF",CAYUGA COUNTY,02/22/74,02/01/78,08/02/07,02/01/78,No,,,,,No,,,,,,,,,,,,,
360302,"FAIRFIELD, TOWN OF",HERKIMER COUNTY,03/29/74,07/30/82,10/18/88,07/30/82,No,,,,,No,,,,,,,,,,,,,
360415#,"FAIRPORT, VILLAGE OF",MONROE COUNTY,05/31/74,09/05/84,08/28/08,09/05/84,No,,,,,No,,,,,,,,,,,,,
360138#,"FALCONER, VILLAGE OF",CHAUTAUQUA COUNTY,02/22/74,01/05/78,01/05/78,01/05/78,No,,,,,No,,,,,,,,,,,,,
360819B,"FALLSBURG, TOWN OF",SULLIVAN COUNTY,06/21/74,03/09/84,08/17/15,03/09/84,No,,,Yes,,No,,,,,,,,,,,,,
360071,"FARMERSVILLE, TOWN OF",CATTARAUGUS COUNTY,06/28/74,07/23/82,07/23/82(M),07/23/82,No,,,,,No,,,,,,,,,,,,,
361629#,"FARMINGDALE, VILLAGE OF",NASSAU COUNTY,,04/02/97,(NSFHA),08/16/18,No,,,,,No,,,,,,,,,,,,,
361299#,"FARMINGTON, TOWN OF",ONTARIO COUNTY,10/25/74,09/30/83,09/30/83,09/30/83,No,,,,,No,,,,,,,,,,,,,
361588B,"FARNHAM, VILLAGE OF",ERIE COUNTY,,06/07/19,(NSFHA),05/26/78,No,,,,,No,,,,,,,,,,,,,
360752#,"FAYETTE, TOWN OF",SENECA COUNTY,09/20/74,01/15/88,01/15/88,01/15/88,No,,,,,No,,,,,,,,,,,,,
360578A,"FAYETTEVILLE, VILLAGE OF",ONONDAGA COUNTY,07/26/74,08/02/82,11/04/16,08/02/82,No,,,Yes,,No,,,,,,,,,,,,,
360399#,"FENNER, TOWNSHIP OF",MADISON COUNTY,09/13/74,02/05/86,02/05/86,02/05/86,No,,,,,No,,,,,,,,,,,,,
360046#,"FENTON, TOWN OF",BROOME COUNTY,05/03/74,08/03/81,08/03/81,08/03/81,No,,,,,No,,,,,,,,,,,,,
361177,"FINE, TOWN OF",ST. LAWRENCE COUNTY,01/10/75,05/01/85,05/01/85(M),05/01/85,No,,,,,No,,,,,,,,,,,,,
361337#,"FISHKILL, TOWN OF",DUTCHESS COUNTY,12/20/74,06/01/84,05/02/12,06/01/84,No,,,,,No,,,,,,,,,,,,,
360218#,"FISHKILL, VILLAGE OF",DUTCHESS COUNTY,06/21/74,03/15/84,05/02/12,03/15/84,No,,,,,No,,,,,,,,,,,,,
360197B,"FLEISCHMANNS, VILLAGE OF",DELAWARE COUNTY,12/06/74,01/17/86,06/16/16,01/17/86,No,,,,,Yes,360197,5/1/2015,5/1/2015,9,5,5,C,,,,,,
360110#,"FLEMING, TOWN OF",CAYUGA COUNTY,06/14/74,07/30/76,08/02/07,02/27/84,No,,,,,No,,,,,,,,,,,,,
361630#,"FLORAL PARK, VILLAGE OF",NASSAU COUNTY,,04/02/97,(NSFHA),07/09/06,No,,,,,No,,,,,,,,,,,,,
360527#,"FLORENCE, TOWN OF",ONEIDA COUNTY,09/13/74,04/17/85,09/27/13(M),04/17/85,No,,,,,No,,,,,,,,,,,,,
360445A,"FLORIDA, TOWN OF",MONTGOMERY COUNTY,08/02/74,12/01/87,01/19/18,12/01/87,No,,,,,No,,,,,,,,,,,,,
360613#,"FLORIDA, VILLAGE OF",ORANGE COUNTY,03/22/74,12/04/86,08/03/09,12/04/86,No,,,,,No,,,,,,,,,,,,,
361604#,"FLOWER HILL, VILLAGE OF",NASSAU COUNTY,,09/18/91,09/11/09,11/24/08,No,,,,,No,,,,,,,,,,,,,
360528#,"FLOYD, TOWN OF",ONEIDA COUNTY,08/09/74,03/15/84,09/27/13,03/15/84,No,,,,,No,,,,,,,,,,,,,
360446A,"FONDA, VILLAGE OF",MONTGOMERY COUNTY,03/01/74,01/06/83,01/19/18,01/06/83,No,,,,,No,,,,,,,,,,,,,
360820#,"FORESTBURGH, TOWN OF",SULLIVAN COUNTY,06/21/74,02/18/11,02/18/11,01/30/84,No,,,,,No,,,,,,,,,,,,,
360529#,"FORESTPORT, TOWN OF",ONEIDA COUNTY,06/28/74,04/17/85,09/27/13(M),04/17/85,No,,,,,No,,,,,,,,,,,,,
361501,"FORESTVILLE, VILLAGE OF",CHAUTAUQUA COUNTY,01/03/75,03/18/83,03/18/83(M),03/18/83,No,,,,,No,,,,,,,,,,,,,
361231,"FORT ANN, TOWN OF",WASHINGTON COUNTY,12/06/74,04/17/85,11/05/97,04/17/85,No,,,,,No,,,,,,,,,,,,,
360884,"FORT ANN, VILLAGE OF",WASHINGTON COUNTY,04/12/74,,(NSFHA),12/19/84,No,,,,,No,,,,,,,,,,,,,
360270#,"FORT COVINGTON, TOWN OF, INCLUDES THE VILLAGE OF FT. COVINGTON",FRANKLIN COUNTY,08/09/74,01/31/83,12/23/83(M),01/31/83,No,,,,,No,,,,,,,,,,,,,
360885#,"FORT EDWARD, TOWN OF",WASHINGTON COUNTY,02/07/75,12/15/82,12/15/82,12/15/82,No,,,,,No,,,,,,,,,,,,,
361536#,"FORT EDWARD, VILLAGE OF",WASHINGTON COUNTY,04/12/74,06/15/78,02/15/84,06/15/78,No,,,,,No,,,,,,,,,,,,,
360447A,"FORT JOHNSON, VILLAGE OF",MONTGOMERY COUNTY,03/15/74,01/19/83,01/19/18,01/19/83,No,,,,,No,,,,,,,,,,,,,
360448A,"FORT PLAIN, VILLAGE OF",MONTGOMERY COUNTY,04/12/74,11/03/82,01/19/18,11/03/82,No,,,,,No,,,,,,,,,,,,,
360698#,"FOWLER, TOWN OF",ST. LAWRENCE COUNTY,11/01/74,06/05/89,06/05/89(M),12/19/84,No,,,,,No,,,,,,,,,,,,,
360303,"FRANKFORT, TOWN OF",HERKIMER COUNTY,03/01/74,04/17/85,12/20/00,04/17/85,No,,,,,No,,,,,,,,,,,,,
360304#,"FRANKFORT, VILLAGE OF",HERKIMER COUNTY,03/22/74,04/03/84,03/07/01,04/03/84,No,,,,,No,,,,,,,,,,,,,
361397,"FRANKLIN, TOWN OF",FRANKLIN COUNTY,07/18/75,09/24/84,09/24/84(M),09/24/84,No,,,,,No,,,,,,,,,,,,,
360198B,"FRANKLIN, TOWN OF",DELAWARE COUNTY,08/16/74,04/01/88,06/16/16,04/01/88,No,,,,,No,,,,,,,,,,,,,
360199#,"FRANKLIN, VILLAGE OF",DELAWARE COUNTY,05/31/74,08/01/87,06/19/12(M),08/01/87,No,,,,,No,,,,,,,,,,,,,
360072#,"FRANKLINVILLE, TOWN OF",CATTARAUGUS COUNTY,11/05/76,07/17/78,07/17/78,07/17/78,No,,,,,No,,,,,,,,,,,,,
360073#,"FRANKLINVILLE, VILLAGE OF",CATTARAUGUS COUNTY,05/31/74,07/03/78,07/03/78,07/03/78,No,,,,,No,,,,,,,,,,,,,
360139#,"FREDONIA, VILLAGE OF",CHAUTAUQUA COUNTY,05/03/74,07/16/84,11/15/89,07/16/84,No,,,,,No,,,,,,,,,,,,,
360074#,"FREEDOM, TOWN OF",CATTARAUGUS COUNTY,05/31/74,05/25/84,08/19/91,05/25/84,No,,,,,No,,,,,,,,,,,,,
360464#,"FREEPORT, VILLAGE OF",NASSAU COUNTY,05/31/74,02/14/76,09/11/09,02/14/76,No,,,,,Yes,360464,10/1/1992,10/1/2009,7,15,5,C,,,,,,
361325#,"FREETOWN, TOWN OF",CORTLAND COUNTY,01/17/75,03/02/10,03/02/10(M),03/02/10,No,,,,,No,,,,,,,,,,,,,
361052,"FREEVILLE, VILLAGE OF",TOMPKINS COUNTY,05/31/74,05/01/88,05/01/88(L),05/01/88,No,,,,,No,,,,,,,,,,,,,
360821#,"FREMONT, TOWN OF",SULLIVAN COUNTY,05/31/74,05/25/84,02/18/11,05/25/84,No,,,,,No,,,,,,,,,,,,,
361601#,"FREMONT, TOWN OF",STEUBEN COUNTY,02/13/81,10/29/82,10/29/82(M),10/29/82,No,,,,,No,,,,,,,,,,,,,
361370,"FRENCH CREEK, TOWN OF",CHAUTAUQUA COUNTY,01/17/75,06/08/84,06/08/84(M),06/08/84,No,,,,,No,,,,,,,,,,,,,
361100#,"FRIENDSHIP, TOWN OF",ALLEGANY COUNTY,01/03/75,12/18/84,12/18/84,12/18/84,No,,,,,No,,,,,,,,,,,,,
360649#,"FULTON, CITY OF",OSWEGO COUNTY,10/18/74,04/15/82,06/18/13,04/15/82,No,,,,,No,,,,,,,,,,,,,
361195#,"FULTON, TOWN OF",SCHOHARIE COUNTY,11/08/74,11/18/83,04/02/04,11/18/83,No,,,,,No,,,,,,,,,,,,,
360449A,"FULTONVILLE, VILLAGE OF",MONTGOMERY COUNTY,03/01/74,10/15/82,01/19/18,10/15/82,No,,,,,No,,,,,,,,,,,,,
361255#,"GAINES, TOWN OF",ORLEANS COUNTY,04/11/75,06/08/84,06/08/84(M),06/08/84,No,,,,,No,,,,,,,,,,,,,
360944,"GAINESVILLE, TOWN OF",WYOMING COUNTY,07/26/74,12/23/83,12/23/83(M),12/23/83,No,,,,,No,,,,,,,,,,,,,
361511,"GAINESVILLE, VILLAGE OF",WYOMING COUNTY,11/22/74,02/15/85,02/15/85(M),02/15/85,No,,,,,No,,,,,,,,,,,,,
361225#,"GALEN, TOWN OF",WAYNE COUNTY,12/06/74,05/16/83,05/16/83,05/16/83,No,,,,,No,,,,,,,,,,,,,
361316#,"GALLATIN, TOWN OF",COLUMBIA COUNTY,10/25/74,10/16/84,10/16/84,10/16/84,No,,,,,No,,,,,,,,,,,,,
360716#,"GALWAY, TOWN OF",SARATOGA COUNTY,06/14/74,05/01/85,08/16/95,05/01/85,No,,,,,No,,,,,,,,,,,,,
361631#,"GARDEN CITY, VILLAGE OF",NASSAU COUNTY,,04/03/97,(NSFHA),10/08/08,No,,,,,No,,,,,,,,,,,,,
360856#,"GARDINER, TOWN OF",ULSTER COUNTY,05/31/74,09/30/82,09/25/09,09/30/82,No,,,Yes,,No,,,,,,,,,,,,,
360416#,"GATES, TOWN OF",MONROE COUNTY,07/26/74,08/02/82,08/28/08,08/02/82,No,,,,,No,,,,,,,,,,,,,
360579A,"GEDDES, TOWN OF",ONONDAGA COUNTY,05/17/74,02/17/82,11/04/16,02/17/82,No,,,,,No,,,,,,,,,,,,,
361003#,"GENESEE FALLS, TOWN OF",WYOMING COUNTY,08/09/74,05/01/84,05/01/84,05/01/84,No,,,,,No,,,,,,,,,,,,,
361101#,"GENESEE, TOWN OF",ALLEGANY COUNTY,12/13/74,07/30/82,07/30/82(M),07/30/82,No,,,,,No,,,,,,,,,,,,,
360384#,"GENESEO, TOWN OF",LIVINGSTON COUNTY,12/28/73,08/01/78,09/29/96,08/01/78,No,,,,,No,,,,,,,,,,,,,
361452#,"GENESEO, VILLAGE OF",LIVINGSTON COUNTY,11/15/74,08/27/82,09/29/96,08/27/82,No,,,,,No,,,,,,,,,,,,,
360599#,"GENEVA, CITY OF",ONTARIO COUNTY,05/17/74,04/15/82,04/15/82,04/15/82,No,,,Yes,,No,,,,,,,,,,,,,
360600#,"GENEVA, TOWN OF",ONTARIO COUNTY,07/26/74,02/15/78,02/15/78,02/15/78,No,,,Yes,,No,,,,,,,,,,,,,
360111#,"GENOA, TOWN OF",CAYUGA COUNTY,06/28/74,11/04/83,08/02/07,11/04/83,No,,,,,No,,,,,,,,,,,,,
360400,"GEORGETOWN, TOWN OF",MADISON COUNTY,08/02/74,11/02/84,11/02/84(M),11/02/84,No,,,,,No,,,,,,,,,,,,,
